nome,descricao,preco
Bola de Futebol,Bola de Futebol Oficial da FIFA,25.99
Pneu,Pneu para carros,50.50
Smartphone,Smartphone XPTO OPTX,450.00
Televisao,Televisao LED 4K,500.00
Guitarra,Guitarra Eletrica,250.00
Bicicleta,Bicicleta de montanha,300.00
Camara,Maquina Fotografica Digital,600.00
Computador Portatil,Notebook MinhaMarca,950.00
Fogao,Fogao a gas de 4 bocas,250.00
Microondas,Microondas de encastrar,200.00
Ar Condicionado,Unidade Split interior,850.00
Maquina de Lavar,Maquina de Lavar Roupa,450.00
Aspirador,Aspirador de Po sem fio,450.00
Ventilador,Ventilador de Teto,75.00
Purificador,Purificador de Agua,150.00
Colunas,Colunas de som ambiente,200.00
Churrasqueira,Churrasqueira a Gas,350.00
Maquina de barbear,Maquina de barbear CortaBem,100.00
Relogio,Relogio PonteirosSoAqui,450.00
Secador,Secador de Cabelo,150.00
Fritadeira,Fritadeira Eletrica,100.00
Cafeteira,Cafeteira vermelha,200.00
Ferro,Ferro de Passar,75.00
Maquina de Cafe Expresso,Maquina de Cafe Expresso multicapsula,250.00
Livro,Livro de ficcao cientifica,20.00
Isqueiro,Isqueiro descartavel,2.50
Mochila,Mochila escolar,25.00
Caneta,Caneta azul,0.50
Bloco de Notas,Bloco de Notas A5,2.00
Calculadora,Calculadora cientifica,15.00
Lapiseira,Lapiseira com minas 0.7mm,2.00
Tesoura,Tesoura escolar para papel,5.00
Lapis de Cor,Conjunto de 24 Lapis de cor,3.50
Gorro,Gorro de lã,10.00
Luvas,Luvas de inverno,15.00
Meias,Par de meias de algodao,5.00
Toalha de Banho,Toalha de Banho extra grande,20.00
Almofada,Almofada decorativa,15.00
Edredao,Edredao para cama de casal,50.00
Cortina,Cortina de duche,25.00
